dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
Wainberg,0.05,0.5,GoDag-dense,0.0365,0.0,116.05,185.74,498.33,0.6274,271.44
Wainberg,0.1,0.1,Boger,0.0923,0.01,185.32,338.9,1611.65,0.7898,560.56
Wainberg,0.1,0.1,GoCo-dense-random1,0.0958,0.21,187.44,341.48,1668.12,0.7952,578.06
Wainberg,0.1,0.1,GoCo-dense-source,0.0958,0.22,189.65,349.56,1811.43,0.8067,575.74
Wainberg,0.1,0.1,GoCo-exp0,0.0949,0.12,189.68,347.53,1706.51,0.7963,573.02
Wainberg,0.1,0.1,GoCo-exp1,0.0958,0.25,189.39,349.1,1813.03,0.807,575.52
Wainberg,0.1,0.1,GoCo-oracle,0.0936,0.09,206.53,379.01,1962.8,0.8068,575.0
Wainberg,0.1,0.1,GoCo-random,0.0958,0.21,187.6,342.19,1668.2133,0.7948,577.6
Wainberg,0.1,0.1,GoCo-score,0.0956,0.21,186.07,340.17,1658.0,0.7948,576.13
Wainberg,0.1,0.1,GoCo-source,0.0958,0.21,189.74,349.71,1813.69,0.8068,575.74
Wainberg,0.1,0.1,GoDag,0.0923,0.01,185.71,339.61,1614.12,0.7897,561.06
Wainberg,0.1,0.1,GoDag-cert60,0.0923,0.01,185.71,339.61,1614.12,0.7897,561.06
Wainberg,0.1,0.1,GoDag-dense,0.0924,0.01,185.71,339.61,1614.77,0.7898,561.41
Wainberg,0.1,0.5,Boger,0.0923,0.01,185.71,339.61,1614.12,0.7897,561.06
Wainberg,0.1,0.5,GoCo-dense-random1,0.0991,0.42,189.17,344.65,1724.87,0.8001,593.72
Wainberg,0.1,0.5,GoCo-dense-source,0.0984,0.35,192.05,353.77,1894.93,0.8131,587.53
Wainberg,0.1,0.5,GoCo-exp0,0.0954,0.12,190.39,349.34,1725.09,0.7975,575.03
Wainberg,0.1,0.5,GoCo-exp1,0.0989,0.41,191.57,353.02,1913.54,0.8153,589.79
Wainberg,0.1,0.5,GoCo-oracle,0.0963,0.21,207.65,381.04,2021.99,0.8114,584.73
Wainberg,0.1,0.5,GoCo-random,0.0995,0.4467,189.6733,345.93,1728.9,0.7999,595.0667
Wainberg,0.1,0.5,GoCo-score,0.0994,0.43,187.11,341.76,1713.43,0.8005,594.09
Wainberg,0.1,0.5,GoCo-source,0.0984,0.36,192.1,353.88,1896.83,0.8132,587.76
Wainberg,0.1,0.5,GoDag,0.0923,0.01,185.71,339.61,1614.12,0.7897,561.06
