dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
Sanger,91,6956,0.5814806284166871,0.5931726766527299,0.5891134880946944,0.7099587826272644
Sanger,92,6880,0.6073973731017477,0.647628840858969,0.5861362670515924,0.7055042374028916
Sanger,93,7803,0.5823769414636762,0.6268682218025434,0.5888623539854912,0.6598513690258687
Sanger,94,7155,0.5979417952988921,0.6398805960096391,0.5871826460115616,0.6485907115302603
Sanger,95,6906,0.5757975116197186,0.6699490408911055,0.5895094785702161,0.6942541032658043
Sanger,96,6730,0.5962504432145894,0.6600390307055358,0.5873677634603066,0.6570234518999999
Sanger,97,7264,0.6054763989840368,0.6824382038308888,0.5862454953073195,0.6968767045729227
Sanger,98,6903,0.5921131651246888,0.6876750868830132,0.5878027687382597,0.6602063818022798
Sanger,99,6192,0.5713290948904349,0.6330123364855857,0.589802030633861,0.6488334284373216
DRIVE,0,2857,0.6138660680168131,0.4648213603362629,0.6018340541108379,0.5986382020221789
DRIVE,1,2539,0.6258945434566121,0.5242428144637891,0.5995850512133885,0.4992850717187732
DRIVE,2,3030,0.5673196144308456,0.49676811569360163,0.60735283834274,0.49090196117840706
DRIVE,3,2508,0.6193939016778713,0.539107014406595,0.6010921008366044,0.5865557135510684
DRIVE,4,2697,0.5759623780418359,0.6367592346532023,0.605588047268536,0.5404841490377978
DRIVE,5,2910,0.5521185086757439,0.5415952896067024,0.6092522366175944,0.5211691260086697
DRIVE,6,3033,0.5684963897839838,0.48588062417949635,0.6070127193801976,0.5076195567787292
DRIVE,7,2654,0.6405472469235606,0.47766662175514235,0.6000543713998248,0.5281799688740164
DRIVE,8,2728,0.5617069487714261,0.6250218877371461,0.6077595550874723,0.5039420350749163
DRIVE,9,2718,0.6021866199323298,0.4269556496545576,0.6029282499727355,0.48152836908043906
DRIVE,10,3073,0.5793798575129534,0.49142019286125505,0.6056336116733446,0.46220436174650836
DRIVE,11,2568,0.6450180232724908,0.6249457389541722,0.5986994114020603,0.6170672914068163
DRIVE,12,2866,0.5769029992406985,0.6654704396093525,0.6060040157646542,0.5887007345281654
DRIVE,13,2832,0.6097226379822017,0.49591123463863246,0.6023840774216224,0.5349661486668007
DRIVE,14,2990,0.6051882482671708,0.5690855387523629,0.6028040030930741,0.5578423986329262
DRIVE,15,2940,0.5598764961005178,0.4965819654429399,0.607733155911774,0.5585310939019076
DRIVE,16,3127,0.6232342277236285,0.5941812128624195,0.6005019152320942,0.5905576030233066
DRIVE,17,3165,0.6224963089824603,0.6128843087462351,0.6004606261607296,0.5729258902820064
DRIVE,18,3064,0.5913579495399891,0.5254396777809905,0.6042181882545269,0.5020255911317126
DRIVE,19,3304,0.5227288234104923,0.5570592843424643,0.6132483990400024,0.5528978549755815
DRIVE,20,2627,0.5887076146403029,0.5408312999579301,0.6047845668068016,0.6030937021174154
DRIVE,21,2985,0.5968264629334229,0.42796154814877,0.6037428711285627,0.5375371839408728
DRIVE,22,2848,0.5908968722778746,0.5114958759799652,0.6043016291040141,0.5909953041280365
DRIVE,23,3519,0.5820348557661403,0.5899484980085725,0.6057918723227089,0.43654149319370383
DRIVE,24,3130,0.6350559617358932,0.594624027326022,0.5984919947058613,0.5972195662425324
DRIVE,25,2839,0.6243977656231816,0.6047897513479964,0.6011832338369426,0.5178860688518914
DRIVE,26,2274,0.600744915599657,0.4923765618631323,0.6032812837699947,0.5744890052403745
DRIVE,27,2340,0.5640196990424077,0.5544032831737347,0.6069855424796649,0.5575233292119047
DRIVE,28,2885,0.6124126468769326,0.5816689857761287,0.6020298919718915,0.6234049259144923
